Package,License,Repository,LicenseFile
slide@1.1.6,ISC,https://github.com/isaacs/slide-flow-control,C:\Users\user\dev\lifeGame_0\node_modules\slide\LICENSE
source-map-js@1.2.1,BSD-3-Clause,https://github.com/7rulnik/source-map-js,C:\Users\user\dev\lifeGame_0\node_modules\source-map-js\LICENSE
spdx-compare@1.0.0,MIT,https://github.com/kemitchell/spdx-compare.js,C:\Users\user\dev\lifeGame_0\node_modules\spdx-compare\LICENSE.md
spdx-correct@3.2.0,Apache-2.0,https://github.com/jslicense/spdx-correct.js,C:\Users\user\dev\lifeGame_0\node_modules\spdx-correct\LICENSE
spdx-exceptions@2.5.0,CC-BY-3.0,https://github.com/kemitchell/spdx-exceptions.json,C:\Users\user\dev\lifeGame_0\node_modules\spdx-exceptions\README.md
spdx-expression-parse@3.0.1,MIT,https://github.com/jslicense/spdx-expression-parse.js,C:\Users\user\dev\lifeGame_0\node_modules\spdx-expression-parse\LICENSE
spdx-license-ids@3.0.21,CC0-1.0,https://github.com/jslicense/spdx-license-ids,C:\Users\user\dev\lifeGame_0\node_modules\spdx-license-ids\README.md
spdx-ranges@2.1.1,(MIT AND CC-BY-3.0),https://github.com/kemitchell/spdx-ranges.js,C:\Users\user\dev\lifeGame_0\node_modules\spdx-ranges\LICENSE.md
spdx-satisfies@4.0.1,MIT,https://github.com/kemitchell/spdx-satisfies.js,C:\Users\user\dev\lifeGame_0\node_modules\spdx-satisfies\LICENSE
stackback@0.0.2,MIT,https://github.com/shtylman/node-stackback,C:\Users\user\dev\lifeGame_0\node_modules\stackback\README.md
std-env@3.9.0,MIT,https://github.com/unjs/std-env,C:\Users\user\dev\lifeGame_0\node_modules\std-env\LICENCE
strip-json-comments@3.1.1,MIT,https://github.com/sindresorhus/strip-json-comments,C:\Users\user\dev\lifeGame_0\node_modules\strip-json-comments\license
supports-color@5.5.0,MIT,https://github.com/chalk/supports-color,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\supports-color\license
supports-color@7.2.0,MIT,https://github.com/chalk/supports-color,C:\Users\user\dev\lifeGame_0\node_modules\supports-color\license
supports-preserve-symlinks-flag@1.0.0,MIT,https://github.com/inspect-js/node-supports-preserve-symlinks-flag,C:\Users\user\dev\lifeGame_0\node_modules\supports-preserve-symlinks-flag\LICENSE
tinybench@2.9.0,MIT,https://github.com/tinylibs/tinybench,C:\Users\user\dev\lifeGame_0\node_modules\tinybench\LICENSE
tinyexec@0.3.2,MIT,https://github.com/tinylibs/tinyexec,C:\Users\user\dev\lifeGame_0\node_modules\tinyexec\LICENSE
tinyglobby@0.2.13,MIT,https://github.com/SuperchupuDev/tinyglobby,C:\Users\user\dev\lifeGame_0\node_modules\tinyglobby\LICENSE
tinypool@1.0.2,MIT,https://github.com/tinylibs/tinypool,C:\Users\user\dev\lifeGame_0\node_modules\tinypool\LICENSE
tinyrainbow@2.0.0,MIT,https://github.com/tinylibs/tinyrainbow,C:\Users\user\dev\lifeGame_0\node_modules\tinyrainbow\LICENCE
tinyspy@3.0.2,MIT,https://github.com/tinylibs/tinyspy,C:\Users\user\dev\lifeGame_0\node_modules\tinyspy\LICENCE
to-regex-range@5.0.1,MIT,https://github.com/micromatch/to-regex-range,C:\Users\user\dev\lifeGame_0\node_modules\to-regex-range\LICENSE
treeify@1.1.0,MIT,https://github.com/notatestuser/treeify,C:\Users\user\dev\lifeGame_0\node_modules\treeify\LICENSE
ts-api-utils@2.1.0,MIT,https://github.com/JoshuaKGoldberg/ts-api-utils,C:\Users\user\dev\lifeGame_0\node_modules\ts-api-utils\LICENSE.md
type-check@0.4.0,MIT,https://github.com/gkz/type-check,C:\Users\user\dev\lifeGame_0\node_modules\type-check\LICENSE
typescript-eslint@8.29.1,MIT,https://github.com/typescript-eslint/typescript-eslint,C:\Users\user\dev\lifeGame_0\node_modules\typescript-eslint\LICENSE
typescript@5.7.3,Apache-2.0,https://github.com/microsoft/TypeScript,C:\Users\user\dev\lifeGame_0\node_modules\typescript\LICENSE.txt
undici-types@6.21.0,MIT,https://github.com/nodejs/undici,C:\Users\user\dev\lifeGame_0\node_modules\undici-types\LICENSE
uri-js@4.4.1,BSD-2-Clause,https://github.com/garycourt/uri-js,C:\Users\user\dev\lifeGame_0\node_modules\uri-js\LICENSE
util-extend@1.0.3,MIT,https://github.com/isaacs/util-extend,C:\Users\user\dev\lifeGame_0\node_modules\util-extend\LICENSE
validate-npm-package-license@3.0.4,Apache-2.0,https://github.com/kemitchell/validate-npm-package-license.js,C:\Users\user\dev\lifeGame_0\node_modules\validate-npm-package-license\LICENSE
vite-node@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\vite-node\LICENSE
vite@6.2.6,MIT,https://github.com/vitejs/vite,C:\Users\user\dev\lifeGame_0\node_modules\vite\LICENSE.md
vitest@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\vitest\LICENSE.md
which@2.0.2,ISC,https://github.com/isaacs/node-which,C:\Users\user\dev\lifeGame_0\node_modules\which\LICENSE
why-is-node-running@2.3.0,MIT,https://github.com/mafintosh/why-is-node-running,C:\Users\user\dev\lifeGame_0\node_modules\why-is-node-running\LICENSE
word-wrap@1.2.5,MIT,https://github.com/jonschlinkert/word-wrap,C:\Users\user\dev\lifeGame_0\node_modules\word-wrap\LICENSE
wrappy@1.0.2,ISC,https://github.com/npm/wrappy,C:\Users\user\dev\lifeGame_0\node_modules\wrappy\LICENSE
yocto-queue@0.1.0,MIT,https://github.com/sindresorhus/yocto-queue,C:\Users\user\dev\lifeGame_0\node_modules\yocto-queue\license
