Package,License,Repository,LicenseFile
@vitejs/plugin-react-swc@3.8.1,MIT,https://github.com/vitejs/vite-plugin-react-swc,C:\Users\user\dev\lifeGame_0\node_modules\@vitejs\plugin-react-swc\LICENSE
@vitest/expect@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\expect\LICENSE
@vitest/mocker@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\mocker\LICENSE
@vitest/pretty-format@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\pretty-format\LICENSE
@vitest/runner@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\runner\LICENSE
@vitest/snapshot@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\snapshot\LICENSE
@vitest/spy@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\spy\LICENSE
@vitest/utils@3.1.2,MIT,https://github.com/vitest-dev/vitest,C:\Users\user\dev\lifeGame_0\node_modules\@vitest\utils\LICENSE
abbrev@1.1.1,ISC,https://github.com/isaacs/abbrev-js,C:\Users\user\dev\lifeGame_0\node_modules\abbrev\LICENSE
acorn-jsx@5.3.2,MIT,https://github.com/acornjs/acorn-jsx,C:\Users\user\dev\lifeGame_0\node_modules\acorn-jsx\LICENSE
acorn@8.14.1,MIT,https://github.com/acornjs/acorn,C:\Users\user\dev\lifeGame_0\node_modules\acorn\LICENSE
ajv@6.12.6,MIT,https://github.com/ajv-validator/ajv,C:\Users\user\dev\lifeGame_0\node_modules\ajv\LICENSE
ansi-styles@3.2.1,MIT,https://github.com/chalk/ansi-styles,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\ansi-styles\license
ansi-styles@4.3.0,MIT,https://github.com/chalk/ansi-styles,C:\Users\user\dev\lifeGame_0\node_modules\ansi-styles\license
argparse@2.0.1,Python-2.0,https://github.com/nodeca/argparse,C:\Users\user\dev\lifeGame_0\node_modules\argparse\LICENSE
array-find-index@1.0.2,MIT,https://github.com/sindresorhus/array-find-index,C:\Users\user\dev\lifeGame_0\node_modules\array-find-index\license
asap@2.0.6,MIT,https://github.com/kriskowal/asap,C:\Users\user\dev\lifeGame_0\node_modules\asap\LICENSE.md
assertion-error@2.0.1,MIT,https://github.com/chaijs/assertion-error,C:\Users\user\dev\lifeGame_0\node_modules\assertion-error\LICENSE
balanced-match@1.0.2,MIT,https://github.com/juliangruber/balanced-match,C:\Users\user\dev\lifeGame_0\node_modules\balanced-match\LICENSE.md
brace-expansion@1.1.11,MIT,https://github.com/juliangruber/brace-expansion,C:\Users\user\dev\lifeGame_0\node_modules\brace-expansion\LICENSE
brace-expansion@2.0.1,MIT,https://github.com/juliangruber/brace-expansion,C:\Users\user\dev\lifeGame_0\node_modules\@typescript-eslint\typescript-estree\node_modules\brace-expansion\LICENSE
braces@3.0.3,MIT,https://github.com/micromatch/braces,C:\Users\user\dev\lifeGame_0\node_modules\braces\LICENSE
cac@6.7.14,MIT,https://github.com/egoist/cac,C:\Users\user\dev\lifeGame_0\node_modules\cac\LICENSE
callsites@3.1.0,MIT,https://github.com/sindresorhus/callsites,C:\Users\user\dev\lifeGame_0\node_modules\callsites\license
chai@5.2.0,MIT,https://github.com/chaijs/chai,C:\Users\user\dev\lifeGame_0\node_modules\chai\LICENSE
chalk@2.4.2,MIT,https://github.com/chalk/chalk,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\chalk\license
chalk@4.1.2,MIT,https://github.com/chalk/chalk,C:\Users\user\dev\lifeGame_0\node_modules\chalk\license
check-error@2.1.1,MIT,https://github.com/chaijs/check-error,C:\Users\user\dev\lifeGame_0\node_modules\check-error\LICENSE
color-convert@1.9.3,MIT,https://github.com/Qix-/color-convert,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\color-convert\LICENSE
color-convert@2.0.1,MIT,https://github.com/Qix-/color-convert,C:\Users\user\dev\lifeGame_0\node_modules\color-convert\LICENSE
color-name@1.1.3,MIT,https://github.com/dfcreative/color-name,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\color-name\LICENSE
color-name@1.1.4,MIT,https://github.com/colorjs/color-name,C:\Users\user\dev\lifeGame_0\node_modules\color-name\LICENSE
concat-map@0.0.1,MIT,https://github.com/substack/node-concat-map,C:\Users\user\dev\lifeGame_0\node_modules\concat-map\LICENSE
cross-spawn@7.0.6,MIT,https://github.com/moxystudio/node-cross-spawn,C:\Users\user\dev\lifeGame_0\node_modules\cross-spawn\LICENSE
csstype@3.1.3,MIT,https://github.com/frenic/csstype,C:\Users\user\dev\lifeGame_0\node_modules\csstype\LICENSE
csv-writer@1.6.0,MIT,https://github.com/ryu1kn/csv-writer,C:\Users\user\dev\lifeGame_0\node_modules\csv-writer\README.md
debug@3.2.7,MIT,https://github.com/visionmedia/debug,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\debug\LICENSE
debug@4.4.0,MIT,https://github.com/debug-js/debug,C:\Users\user\dev\lifeGame_0\node_modules\debug\LICENSE
debuglog@1.0.1,MIT,https://github.com/sam-github/node-debuglog,C:\Users\user\dev\lifeGame_0\node_modules\debuglog\LICENSE
deep-eql@5.0.2,MIT,https://github.com/chaijs/deep-eql,C:\Users\user\dev\lifeGame_0\node_modules\deep-eql\LICENSE
deep-is@0.1.4,MIT,https://github.com/thlorenz/deep-is,C:\Users\user\dev\lifeGame_0\node_modules\deep-is\LICENSE
dezalgo@1.0.4,ISC,https://github.com/npm/dezalgo,C:\Users\user\dev\lifeGame_0\node_modules\dezalgo\LICENSE
es-module-lexer@1.7.0,MIT,https://github.com/guybedford/es-module-lexer,C:\Users\user\dev\lifeGame_0\node_modules\es-module-lexer\LICENSE
esbuild@0.25.2,MIT,https://github.com/evanw/esbuild,C:\Users\user\dev\lifeGame_0\node_modules\esbuild\LICENSE.md
escape-string-regexp@1.0.5,MIT,https://github.com/sindresorhus/escape-string-regexp,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\escape-string-regexp\license
escape-string-regexp@4.0.0,MIT,https://github.com/sindresorhus/escape-string-regexp,C:\Users\user\dev\lifeGame_0\node_modules\escape-string-regexp\license
eslint-plugin-react-hooks@5.2.0,MIT,https://github.com/facebook/react,C:\Users\user\dev\lifeGame_0\node_modules\eslint-plugin-react-hooks\LICENSE
eslint-plugin-react-refresh@0.4.19,MIT,https://github.com/ArnaudBarre/eslint-plugin-react-refresh,C:\Users\user\dev\lifeGame_0\node_modules\eslint-plugin-react-refresh\LICENSE
eslint-scope@8.3.0,BSD-2-Clause,https://github.com/eslint/js,C:\Users\user\dev\lifeGame_0\node_modules\eslint-scope\LICENSE
eslint-visitor-keys@3.4.3,Apache-2.0,https://github.com/eslint/eslint-visitor-keys,C:\Users\user\dev\lifeGame_0\node_modules\@eslint-community\eslint-utils\node_modules\eslint-visitor-keys\LICENSE
eslint-visitor-keys@4.2.0,Apache-2.0,https://github.com/eslint/js,C:\Users\user\dev\lifeGame_0\node_modules\eslint-visitor-keys\LICENSE
eslint@9.24.0,MIT,https://github.com/eslint/eslint,C:\Users\user\dev\lifeGame_0\node_modules\eslint\LICENSE
espree@10.3.0,BSD-2-Clause,https://github.com/eslint/js,C:\Users\user\dev\lifeGame_0\node_modules\espree\LICENSE
esquery@1.6.0,BSD-3-Clause,https://github.com/estools/esquery,C:\Users\user\dev\lifeGame_0\node_modules\esquery\license.txt
esrecurse@4.3.0,BSD-2-Clause,https://github.com/estools/esrecurse,C:\Users\user\dev\lifeGame_0\node_modules\esrecurse\README.md
estraverse@5.3.0,BSD-2-Clause,https://github.com/estools/estraverse,C:\Users\user\dev\lifeGame_0\node_modules\estraverse\LICENSE.BSD
estree-walker@3.0.3,MIT,https://github.com/Rich-Harris/estree-walker,C:\Users\user\dev\lifeGame_0\node_modules\estree-walker\LICENSE
esutils@2.0.3,BSD-2-Clause,https://github.com/estools/esutils,C:\Users\user\dev\lifeGame_0\node_modules\esutils\LICENSE.BSD
expect-type@1.2.1,Apache-2.0,https://github.com/mmkal/expect-type,C:\Users\user\dev\lifeGame_0\node_modules\expect-type\LICENSE
fast-deep-equal@3.1.3,MIT,https://github.com/epoberezkin/fast-deep-equal,C:\Users\user\dev\lifeGame_0\node_modules\fast-deep-equal\LICENSE
fast-glob@3.3.3,MIT,https://github.com/mrmlnc/fast-glob,C:\Users\user\dev\lifeGame_0\node_modules\fast-glob\LICENSE
fast-json-stable-stringify@2.1.0,MIT,https://github.com/epoberezkin/fast-json-stable-stringify,C:\Users\user\dev\lifeGame_0\node_modules\fast-json-stable-stringify\LICENSE
fast-levenshtein@2.0.6,MIT,https://github.com/hiddentao/fast-levenshtein,C:\Users\user\dev\lifeGame_0\node_modules\fast-levenshtein\LICENSE.md
fastq@1.19.1,ISC,https://github.com/mcollina/fastq,C:\Users\user\dev\lifeGame_0\node_modules\fastq\LICENSE
fdir@6.4.4,MIT,https://github.com/thecodrr/fdir,C:\Users\user\dev\lifeGame_0\node_modules\tinyglobby\node_modules\fdir\LICENSE
file-entry-cache@8.0.0,MIT,https://github.com/jaredwray/file-entry-cache,C:\Users\user\dev\lifeGame_0\node_modules\file-entry-cache\LICENSE
fill-range@7.1.1,MIT,https://github.com/jonschlinkert/fill-range,C:\Users\user\dev\lifeGame_0\node_modules\fill-range\LICENSE
find-up@5.0.0,MIT,https://github.com/sindresorhus/find-up,C:\Users\user\dev\lifeGame_0\node_modules\find-up\license
flat-cache@4.0.1,MIT,https://github.com/jaredwray/flat-cache,C:\Users\user\dev\lifeGame_0\node_modules\flat-cache\LICENSE
flatted@3.3.3,ISC,https://github.com/WebReflection/flatted,C:\Users\user\dev\lifeGame_0\node_modules\flatted\LICENSE
fs.realpath@1.0.0,ISC,https://github.com/isaacs/fs.realpath,C:\Users\user\dev\lifeGame_0\node_modules\fs.realpath\LICENSE
function-bind@1.1.2,MIT,https://github.com/Raynos/function-bind,C:\Users\user\dev\lifeGame_0\node_modules\function-bind\LICENSE
glob-parent@5.1.2,ISC,https://github.com/gulpjs/glob-parent,C:\Users\user\dev\lifeGame_0\node_modules\fast-glob\node_modules\glob-parent\LICENSE
glob-parent@6.0.2,ISC,https://github.com/gulpjs/glob-parent,C:\Users\user\dev\lifeGame_0\node_modules\glob-parent\LICENSE
glob@7.2.3,ISC,https://github.com/isaacs/node-glob,C:\Users\user\dev\lifeGame_0\node_modules\glob\LICENSE
globals@14.0.0,MIT,https://github.com/sindresorhus/globals,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\eslintrc\node_modules\globals\license
globals@15.15.0,MIT,https://github.com/sindresorhus/globals,C:\Users\user\dev\lifeGame_0\node_modules\globals\license
graceful-fs@4.2.11,ISC,https://github.com/isaacs/node-graceful-fs,C:\Users\user\dev\lifeGame_0\node_modules\graceful-fs\LICENSE
graphemer@1.4.0,MIT,https://github.com/flmnt/graphemer,C:\Users\user\dev\lifeGame_0\node_modules\graphemer\LICENSE
has-flag@3.0.0,MIT,https://github.com/sindresorhus/has-flag,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\node_modules\has-flag\license
has-flag@4.0.0,MIT,https://github.com/sindresorhus/has-flag,C:\Users\user\dev\lifeGame_0\node_modules\has-flag\license
hasown@2.0.2,MIT,https://github.com/inspect-js/hasOwn,C:\Users\user\dev\lifeGame_0\node_modules\hasown\LICENSE
hosted-git-info@2.8.9,ISC,https://github.com/npm/hosted-git-info,C:\Users\user\dev\lifeGame_0\node_modules\hosted-git-info\LICENSE
